seq,sprint,module_id,task_key,module_title,status,completeness,completeness_score,files_ok,contract_required,contract_exists,timestamp_done,timestamp_last_changed,timestamp_committed,commit_hash,committed_by,worked_by,assigned_agent,local_file_locations,git_file_locations,git_urls
1,0,0.1,0.1@AUTH-1,Define and commit ProviderAdapter interface — all adapters implement this,done,complete,100.0,True,True,True,2026-03-04T01:14:43+00:00,2026-03-07T22:46:32-05:00,2026-03-03T20:12:09-05:00,2ebfec6b47bd85684fa075406031019e4f0246b1,messagesgoel-blip,Codex,Codex,/home/sanjay/cacheflow_work/lib/providers/ProviderAdapter.interface.ts; /home/sanjay/cacheflow_work/lib/providers/types.ts; /home/sanjay/cacheflow_work/web/lib/providers/types.ts,lib/providers/ProviderAdapter.interface.ts; lib/providers/types.ts; web/lib/providers/types.ts,https://github.com/messagesgoel-blip/cacheflow/blob/main/lib/providers/ProviderAdapter.interface.ts; https://github.com/messagesgoel-blip/cacheflow/blob/main/lib/providers/types.ts; https://github.com/messagesgoel-blip/cacheflow/blob/main/web/lib/providers/types.ts
2,0,0.2,0.2@AUTH-1,Define AppError taxonomy and ErrorCode enum,done,complete,100.0,True,True,True,2026-03-04T03:46:36+00:00,2026-03-03T16:26:18-05:00,2026-03-03T22:31:55-05:00,1d01014e881ea8e5ce953564a7357d01c7966576,messagesgoel-blip,OpenCode,OpenCode,/home/sanjay/cacheflow_work/lib/errors/AppError.ts; /home/sanjay/cacheflow_work/lib/errors/ErrorCode.ts,lib/errors/AppError.ts; lib/errors/ErrorCode.ts,https://github.com/messagesgoel-blip/cacheflow/blob/main/lib/errors/AppError.ts; https://github.com/messagesgoel-blip/cacheflow/blob/main/lib/errors/ErrorCode.ts
3,0,0.3,0.3@AUTH-2,"Define complete Prisma schema baseline — all tables, all relationships",done,complete,100.0,True,True,True,2026-03-04T03:46:36+00:00,2026-03-07T22:54:44-05:00,2026-03-03T22:31:55-05:00,1d01014e881ea8e5ce953564a7357d01c7966576,messagesgoel-blip,OpenCode,OpenCode,/home/sanjay/cacheflow_work/prisma/schema.prisma; /home/sanjay/cacheflow_work/docs/architecture/data-model.md,prisma/schema.prisma; docs/architecture/data-model.md,https://github.com/messagesgoel-blip/cacheflow/blob/main/prisma/schema.prisma; https://github.com/messagesgoel-blip/cacheflow/blob/main/docs/architecture/data-model.md
4,0,0.4,0.4@SSE-1,Allocate Redis namespaces — document and enforce db separation,done,complete,100.0,True,True,True,2026-03-04T03:46:36+00:00,2026-03-06T12:46:14-05:00,2026-03-03T22:31:55-05:00,1d01014e881ea8e5ce953564a7357d01c7966576,messagesgoel-blip,OpenCode,OpenCode,/home/sanjay/cacheflow_work/docs/architecture/redis-namespaces.md; /home/sanjay/cacheflow_work/lib/redis/client.ts,docs/architecture/redis-namespaces.md; lib/redis/client.ts,https://github.com/messagesgoel-blip/cacheflow/blob/main/docs/architecture/redis-namespaces.md; https://github.com/messagesgoel-blip/cacheflow/blob/main/lib/redis/client.ts
5,0,0.4a,0.4a@AUTH-1,ErrorCode → UI action contract doc; map all ErrorCode enums to deterministic UI behavior and default toast fallback,done,complete,100.0,True,True,True,2026-03-09T04:52:31+00:00,2026-03-03T16:19:23-05:00,2026-03-08T20:42:15-04:00,94c0d8158b69,messagesgoel-blip,ClaudeCode,ClaudeCode,/home/sanjay/cacheflow_work/docs/contracts/errorcode-ui-actions.md,docs/contracts/errorcode-ui-actions.md,https://github.com/messagesgoel-blip/cacheflow/blob/main/docs/contracts/errorcode-ui-actions.md
6,0,0.5,0.5@TRANSFER-1,Define streaming pipeline pattern — pipeline() + backpressure strategy,done,complete,100.0,True,True,True,2026-03-04T03:46:36+00:00,2026-03-04T16:27:42-05:00,2026-03-03T22:31:55-05:00,1d01014e881ea8e5ce953564a7357d01c7966576,messagesgoel-blip,OpenCode,OpenCode,/home/sanjay/cacheflow_work/lib/transfers/streamPipeline.ts; /home/sanjay/cacheflow_work/tests/unit/streamPipeline.test.ts,lib/transfers/streamPipeline.ts; tests/unit/streamPipeline.test.ts,https://github.com/messagesgoel-blip/cacheflow/blob/main/lib/transfers/streamPipeline.ts; https://github.com/messagesgoel-blip/cacheflow/blob/main/tests/unit/streamPipeline.test.ts
7,0,0.6,0.6@AUTH-4,Define singleton refresh promise pattern — prevent concurrent token refresh race,done,complete,100.0,True,True,True,2026-03-04T03:46:36+00:00,2026-03-04T16:27:42-05:00,2026-03-03T22:31:55-05:00,1d01014e881ea8e5ce953564a7357d01c7966576,messagesgoel-blip,OpenCode,OpenCode,/home/sanjay/cacheflow_work/lib/auth/refreshGuard.ts; /home/sanjay/cacheflow_work/docs/architecture/auth-patterns.md; /home/sanjay/cacheflow_work/tests/unit/refreshGuard.test.ts,lib/auth/refreshGuard.ts; docs/architecture/auth-patterns.md; tests/unit/refreshGuard.test.ts,https://github.com/messagesgoel-blip/cacheflow/blob/main/lib/auth/refreshGuard.ts; https://github.com/messagesgoel-blip/cacheflow/blob/main/docs/architecture/auth-patterns.md; https://github.com/messagesgoel-blip/cacheflow/blob/main/tests/unit/refreshGuard.test.ts
8,0,0.7,0.7@SSE-1,Define BullMQ → SSE bridge via Redis pub/sub,done,complete,100.0,True,True,True,2026-03-04T03:46:36+00:00,2026-03-08T18:45:08-04:00,2026-03-03T22:31:55-05:00,1d01014e881ea8e5ce953564a7357d01c7966576,messagesgoel-blip,OpenCode,OpenCode,/home/sanjay/cacheflow_work/lib/transfers/progressBridge.ts; /home/sanjay/cacheflow_work/docs/architecture/sse-pattern.md,lib/transfers/progressBridge.ts; docs/architecture/sse-pattern.md,https://github.com/messagesgoel-blip/cacheflow/blob/main/lib/transfers/progressBridge.ts; https://github.com/messagesgoel-blip/cacheflow/blob/main/docs/architecture/sse-pattern.md
9,0,0.9,0.9@SSE-1,Stateful deployment guard — enforce long-running runtime targets and block serverless/edge deployment configs in CI,done,complete,100.0,True,True,True,2026-03-04T03:46:36+00:00,2026-03-04T16:27:42-05:00,2026-03-03T22:31:55-05:00,1d01014e881ea8e5ce953564a7357d01c7966576,messagesgoel-blip,OpenCode,Codex,/home/sanjay/cacheflow_work/docs/architecture/deployment-constraints.md; /home/sanjay/cacheflow_work/scripts/check-deployment-target.sh; /home/sanjay/cacheflow_work/.env.example,docs/architecture/deployment-constraints.md; scripts/check-deployment-target.sh; .env.example,https://github.com/messagesgoel-blip/cacheflow/blob/main/docs/architecture/deployment-constraints.md; https://github.com/messagesgoel-blip/cacheflow/blob/main/scripts/check-deployment-target.sh; https://github.com/messagesgoel-blip/cacheflow/blob/main/.env.example
10,1,1.1,1.1@AUTH-1,Create global HTTP interceptor for all /api/remotes proxy calls,done,complete,100.0,True,True,True,2026-03-02T21:27:53+00:00,2026-03-07T22:46:32-05:00,2026-03-02T16:17:26-05:00,9fe35b97ff937479a1f5a6dd2e4113bd79feabe9,Sanjay Goel,OpenCode,OpenCode,/home/sanjay/cacheflow_work/lib/apiClient.ts; /home/sanjay/cacheflow_work/web/lib/apiClient.ts; /home/sanjay/cacheflow_work/lib/interceptors/authInterceptor.ts; /home/sanjay/cacheflow_work/web/lib/interceptors/authInterceptor.ts,lib/apiClient.ts; web/lib/apiClient.ts; lib/interceptors/authInterceptor.ts; web/lib/interceptors/authInterceptor.ts,https://github.com/messagesgoel-blip/cacheflow/blob/main/lib/apiClient.ts; https://github.com/messagesgoel-blip/cacheflow/blob/main/web/lib/apiClient.ts; https://github.com/messagesgoel-blip/cacheflow/blob/main/lib/interceptors/authInterceptor.ts; https://github.com/messagesgoel-blip/cacheflow/blob/main/web/lib/interceptors/authInterceptor.ts
